aal ale
abbild image
abbildung illustration
abend evening
abende evenings
abendessen supper
abenteuer adventure
aberglaube superstition
abfaelle clippings
abfahrt departure
abfall declension
abfindungen gratuities
abflussrohr spout
abfrage inquiry
abgabe tribute
abgaben tributes
abgeschiedenheit seclusion
abgott idol
abgruende abysses
abgrund abyss
abhaenge declivities
abhaengige dependants
abhaengiger dependant
abhandlung treatise
abhandlungen treatises
abhang declivity
abkommen agreement
abkuerzung abbreviation
abkuerzungen abbreviations
ablage deposit
ablagen depositions
ablagerung deposit
ablagerungen sediments
ablaufverfolgung backtrace
ablehnung refusals
ablehnungshinweis disclaimer
ableitung deduction
ableitungen derivations
abneigung antipathy
abneigungen antipathies
abnutzung fading
abreise departure
absatz heel
abscheu abhorrence
abschied valediction
abschnitt chapter
abschrift transcript
abschriften transcriptions
absender sender
absetzung degradation
absetzungen degradations
absicht intention
absichten intentions
absonderung isolation
abspeicherungen savings
abstaende distances
abstammung ancestory
abstammungen lineages
abstand displacement
abstandsstueck spacer
abstieg descend
abstiege descents
abstimmung ballot
abstinenzler teetotaler
abstuerze crashes
abstufung gradation
abstufungen gradations
abteil compartment
abteilung compartment
abteilungen compartments
abtretung cession
abtretungen cessions
abtrieb output
abtruennige renegades
abtruenniger renegade
abwaesser sewages
abwasser sewage
abweichung aberration
abweichungen deviations
abwertung devaluation
abwertungen devaluations
abwesenheit absence
abwesenheiten absences
abwicklung liquidation
abzeichen badge
abzuege deductions
abzug discount
achse axis
achsen axes
ackerbau tillage
adapter adapter
addition addition
adel nobility
adler eagle
adlige noblemen
adliger nobleman
adresse address
adressen addresses
adressierbarkeit addressability
aehnlichkeit likeness
aehnlichkeiten resemblances
aenderung modification
aenderungen alterations
aengste anxieties
aepfel apples
aequator equator
aerger chagrin
aermel sleeve
aerzte physicians
aeste boughs
aeusserung utterance
aeusserungen utterances
affe ape
affen apes
agent agent
agentur agency
agenturen agencies
ahorn maple
akkord chord
akkorde chords
aktentasche briefcase
aktion action
aktionaer shareholder
aktionaere shareholders
aktionen actions
aktivierung activation
aktivitaet activity
aktivitaeten activities
aktualisierung updating
aktualitaet actuality
akustik acoustic
akzent accent
